TBD,punctuation,TBD1,avgWordLen,numLetters,numwords,dialogue
0.0,3.0,0.0,2.8333333333333335,17.0,6.0,0.0
0.0,1.0,0.0,2.625,21.0,8.0,0.0
0.0,1.0,0.0,5.0,45.0,9.0,0.0
0.0,1.0,0.0,4.571428571428571,64.0,14.0,0.0
0.0,1.0,0.0,8.0,8.0,1.0,1.0
0.0,1.0,0.0,4.666666666666667,14.0,3.0,0.0
0.0,5.0,0.0,3.8518518518518516,104.0,27.0,1.0
0.0,1.0,0.0,4.388888888888889,79.0,18.0,0.0
0.0,1.0,0.0,6.0,36.0,6.0,0.0
0.0,5.0,0.0,4.636363636363637,51.0,11.0,1.0
0.0,2.0,0.0,4.222222222222222,38.0,9.0,0.0
0.0,3.0,0.0,3.25,26.0,8.0,0.0
